james dolley madison, date of birth, placed, , march 16 1751
1776 virginia convention, point in time, placed, , 1776
1776 virginia convention, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
1774, point in time, placed, , 1774
1776 virginia convention, point in time, placed, , 1776
1776 virginia convention, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
1774, point in time, placed, , 1774
1776 virginia convention, point in time, placed, , 1776
1776 virginia convention, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
1774, point in time, placed, , 1774
1776 virginia convention, point in time, placed, , 1776
militia, subclass of, placed, , military
militia, instance of, placed, , military
militia, part of, placed, , military
1777 election, point in time, placed, , 1777
1777 election, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election, point in time, placed, , 1777
1777 election, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election, point in time, placed, , 1777
1777 election, point in time, placed, , 1777
1777 election, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election for the virginia assembly, point in time, placed, , 1777
1777 election, point in time, placed, , 1777
virginia, legislative body, placed, , virginia house of delegates
virginia house of delegates, applies to jurisdiction, placed, , virginia
continental congress, location, placed, , virginia
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
continental congress, location, placed, , virginia
virginia, legislative body, placed, , virginia house of delegates
virginia house of delegates, applies to jurisdiction, placed, , virginia
continental congress, location, placed, , virginia
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
continental congress, location, placed, , virginia
constitutional convention in 1787, point in time, placed, , 1787
articles of confederation, legislated by, entered, by, placed, , continental congress
constitutional convention in 1787, point in time, placed, , 1787
articles of confederation, legislated by, entered, by, placed, , continental congress
federal convention, point in time, placed, , 1787
articles of confederation, legislated by, entered, by, placed, , continental congress
constitutional convention in 1787, point in time, placed, , 1787
constitutional convention in 1787, point in time, placed, , 1787
constitutional convention in 1787, point in time, placed, , 1787
constitutional convention in 1787, point in time, placed, , 1787
constitutional convention in 1787, point in time, placed, , 1787
constitutional convention in 1787, point in time, placed, , 1787
virginia plan, instance of, placed, , constitution
virginia plan, subclass of, placed, , constitution
virginia plan, instance of, placed, , new constitution
virginia plan, instance of, placed, , constitution
virginia plan, subclass of, placed, , constitution
virginia plan, instance of, placed, , new constitution
virginia plan, instance of, placed, , constitution
virginia plan, subclass of, placed, , constitution
virginia plan, instance of, placed, , new constitution
virginia plan, instance of, placed, , constitution
virginia plan, subclass of, placed, , constitution
virginia plan, instance of, placed, , new constitution
virginia plan, instance of, placed, , constitution
virginia plan, subclass of, placed, , constitution
virginia plan, instance of, placed, , new constitution
virginia plan, instance of, placed, , constitution
virginia plan, subclass of, placed, , constitution
virginia plan, instance of, placed, , new constitution
virginia plan, instance of, placed, , constitution
virginia plan, subclass of, placed, , constitution
virginia plan, instance of, placed, , new constitution
virginia plan, instance of, placed, , constitution
virginia plan, subclass of, placed, , constitution
virginia plan, instance of, placed, , new constitution
virginia plan, instance of, placed, , constitution
virginia plan, subclass of, placed, , constitution
virginia plan, instance of, placed, , new constitution
virginia plan, instance of, placed, , constitution
virginia plan, subclass of, placed, , constitution
virginia plan, instance of, placed, , new constitution
constitution, author, placed, , convention
constitution, legislated by, entered, by, placed, , convention
constitution, has cause, placed, , convention
constitution, author, placed, , convention
constitution, legislated by, entered, by, placed, , convention
constitution, has cause, placed, , convention
constitution, author, placed, , convention
constitution, legislated by, entered, by, placed, , convention
constitution, has cause, placed, , convention
constitution, author, placed, , convention
constitution, legislated by, entered, by, placed, , convention
constitution, has cause, placed, , convention
constitution, author, placed, , convention
constitution, legislated by, entered, by, placed, , convention
constitution, has cause, placed, , convention
constitution, author, placed, , convention
constitution, legislated by, entered, by, placed, , convention
constitution, has cause, placed, , convention
constitution, author, placed, , convention
constitution, legislated by, entered, by, placed, , convention
constitution, has cause, placed, , convention
federalist, facet of, placed, , constitution
federalist, facet of, placed, , constitution
federalist, facet of, placed, , constitution
federalist, facet of, placed, , constitution
federalist, has part, placed, , 85 anonymous essays
federalist, facet of, placed, , constitution
federalist, genre, placed, , 85 anonymous essays
federalist, facet of, placed, , constitution
federalist, facet of, placed, , constitution
federalist, facet of, placed, , constitution
new constitution, inception, placed, , 1789
new constitution, inception, placed, , 1789
new constitution, inception, placed, , 1789
new constitution, inception, placed, , 1789
new constitution, inception, placed, , 1789
new constitution, inception, placed, , 1789
new constitution, inception, placed, , 1789
1796 general election, point in time, placed, , 1796
1790 general election, point in time, placed, , 1790
1796 general election, point in time, placed, , 1796
1790 general election, point in time, placed, , 1790
1796 general election, point in time, placed, , 1796
1790 general election, point in time, placed, , 1790
1892 general election, point in time, placed, , 1892
1892 general election, point in time, placed, , 1892
1892 general election, point in time, placed, , 1892
elected to the virginia assembly, point in time, placed, , 1799
elected to the virginia assembly, point in time, placed, , 1799
elected to the virginia assembly, point in time, placed, , 1799
elected to the virginia assembly, point in time, placed, , 1799
alien and sedition acts, point in time, placed, , 1798
alien and sedition acts, publication date, placed, , 1798
alien and sedition acts, point in time, placed, , 1798
alien and sedition acts, publication date, placed, , 1798
virginia resolution, point in time, placed, , 1800
virginia resolution, point in time, placed, , 1800
virginia resolution, point in time, placed, , 1800
virginia resolution, point in time, placed, , 1800
election of 1800, point in time, placed, , 1800
election of 1800, point in time, placed, , 1800
thomas jefferson, candidacy in election, placed, , election of 1800
election of 1800, point in time, placed, , 1800
election of 1800, point in time, placed, , 1800
thomas jefferson, candidacy in election, placed, , election of 1800
election of 1800, point in time, placed, , 1800
election of 1800, point in time, placed, , 1800
thomas jefferson, candidacy in election, placed, , election of 1800
election of 1800, point in time, placed, , 1800
thomas jefferson, candidacy in election, placed, , election of 1800
election of 1800, point in time, placed, , 1800
thomas jefferson, candidacy in election, placed, , election of 1800
election of 1800, point in time, placed, , 1800
thomas jefferson, candidacy in election, placed, , election of 1800
election of 1800, point in time, placed, , 1800
thomas jefferson, candidacy in election, placed, , election of 1800
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
jefferson madison, residence, placed, , neighbor
jefferson madison, residence, placed, , neighbor
neighbor, occupant, placed, , jefferson madison
jefferson madison, member of, placed, , friend
secretary of state presidency, officeholder, placed, , jefferson
secretary of state presidency, officeholder, placed, , jefferson
secretary of state presidency, officeholder, placed, , jefferson
barbary wars, part of, placed, , foreign affairs
lewis and clark expeditions, part of, placed, , barbary wars
lewis and clark expeditions, has effect, placed, , louisiana purchase
war between france and great britain, participant, placed, , united states
war between france and great britain, country, placed, , united states
fourth president of the united states, inception, placed, , 1809
war between france and great britain, participant, placed, , united states
war between france and great britain, country, placed, , united states
war between france and great britain, participant, placed, , united states
war between france and great britain, country, placed, , united states
declare war against great britain in 1812, point in time, placed, , 1812
declare war against great britain, point in time, placed, , 1812
declare war against great britain in 1812, point in time, placed, , 1812
declare war against great britain, point in time, placed, , 1812
declare war against great britain in 1812, point in time, placed, , 1812
declare war against great britain, point in time, placed, , 1812
1829 virginia convention, point in time, placed, , 1829
virginia convention, point in time, placed, , 1829
state constitution, inception, placed, , 1829
1829 virginia convention, point in time, placed, , 1829
virginia convention, point in time, placed, , 1829
1829 virginia convention, point in time, placed, , 1829
virginia convention, point in time, placed, , 1829
state constitution, inception, placed, , 1829
state constitution, inception, placed, , 1829
state constitution, inception, placed, , 1829
state constitution, inception, placed, , 1829
1829 virginia convention, point in time, placed, , 1829
virginia convention, point in time, placed, , 1829
state constitution, inception, placed, , 1829
state constitution, inception, placed, , 1829
1787 constitutional convention, point in time, placed, , 1787
constitution, inception, placed, , 1787
father of the constitution, participant in, placed, , 1787 constitutional convention
1787 constitutional convention, point in time, placed, , 1787
father of the constitution, participant in, placed, , 1787 constitutional convention
1787 constitutional convention, point in time, placed, , 1787
constitution, inception, placed, , 1787
father of the constitution, participant in, placed, , 1787 constitutional convention
1787 constitutional convention, point in time, placed, , 1787
constitution, inception, placed, , 1787
father of the constitution, participant in, placed, , 1787 constitutional convention
1787 constitutional convention, point in time, placed, , 1787
constitution, inception, placed, , 1787
father of the constitution, participant in, placed, , 1787 constitutional convention
1787 constitutional convention, point in time, placed, , 1787
constitution, inception, placed, , 1787
father of the constitution, participant in, placed, , 1787 constitutional convention
1787 constitutional convention, point in time, placed, , 1787
constitution, inception, placed, , 1787
father of the constitution, participant in, placed, , 1787 constitutional convention
1787 constitutional convention, point in time, placed, , 1787
father of the constitution, participant in, placed, , 1787 constitutional convention
1787 constitutional convention, point in time, placed, , 1787
constitution, inception, placed, , 1787
father of the constitution, participant in, placed, , 1787 constitutional convention
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james madison, place of death, placed, , montpelier
james madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
James madison, date of death, placed, , june 28 1836
James madison, place of death, placed, , montpelier
james barbour, position held, placed, , governor
James barbour, position held, placed, , governor
James Barbour, position held, placed, , governor
james barbour, position held, placed, , governor
