james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
james madison, date of birth, placed, , 1751
tobacco, part of, placed, , triad
tobacco, instance of, placed, , triad
tobacco, part of, placed, , triad
tobacco, instance of, placed, , triad
college of new jersey, located in the administrative territorial entity, placed, , princeton
frances hutcheson david hume, movement, placed, , scottish enlightenment
frances hutcheson david hume, movement, placed, , scottish enlightenment
adam smith, movement, placed, , scottish enlightenment
frances hutcheson david hume, movement, placed, , scottish enlightenment
frances hutcheson david hume, movement, placed, , scottish enlightenment
adam smith, movement, placed, , scottish enlightenment
frances hutcheson david hume, movement, placed, , scottish enlightenment
frances hutcheson david hume, movement, placed, , scottish enlightenment
adam smith, movement, placed, , scottish enlightenment
frances hutcheson david hume, movement, placed, , scottish enlightenment
adam smith, movement, placed, , scottish enlightenment
philadelphia, point in time, placed, , april 1774
philadelphia, inception, placed, , april 1774
philadelphia, instance of, placed, , capitols
philadelphia, point in time, placed, , april 1774
philadelphia, inception, placed, , april 1774
philadelphia, point in time, placed, , april 1774
philadelphia, inception, placed, , april 1774
philadelphia, instance of, placed, , capitols
philadelphia, point in time, placed, , april 1774
philadelphia, inception, placed, , april 1774
philadelphia, instance of, placed, , capitols
philadelphia, point in time, placed, , april 1774
philadelphia, inception, placed, , april 1774
philadelphia, instance of, placed, , capitols
virginia convention of 1776, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
virginia convention of 1776, inception, placed, , 1776
virginia convention of 1776, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
virginia convention of 1776, inception, placed, , 1776
virginia convention of 1776, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
virginia convention of 1776, inception, placed, , 1776
virginia convention of 1776, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
virginia convention of 1776, inception, placed, , 1776
virginia convention of 1776, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
virginia convention of 1776, inception, placed, , 1776
virginia convention of 1776, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
virginia convention of 1776, inception, placed, , 1776
virginia convention of 1776, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
virginia convention of 1776, inception, placed, , 1776
virginia convention of 1776, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
virginia convention of 1776, inception, placed, , 1776
virginia convention of 1776, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
virginia convention of 1776, inception, placed, , 1776
virginia convention of 1776, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
virginia convention of 1776, inception, placed, , 1776
virginia convention of 1776, point in time, placed, , 1776
virginia convention, point in time, placed, , 1776
virginia convention of 1776, inception, placed, , 1776
free exercise of religion, part of, placed, , american constitutional law
american constitutional law, has part, placed, , free exercise of religion
free exercise of religion, part of, placed, , american constitutional law
free exercise of religion, instance of, placed, , right
american constitutional law, has part, placed, , free exercise of religion
free exercise of religion, part of, placed, , american constitutional law
american constitutional law, has part, placed, , free exercise of religion
free exercise of religion, part of, placed, , american constitutional law
american constitutional law, has part, placed, , free exercise of religion
free exercise of religion, part of, placed, , american constitutional law
american constitutional law, has part, placed, , free exercise of religion
free exercise of religion, part of, placed, , american constitutional law
american constitutional law, has part, placed, , free exercise of religion
free exercise of religion, part of, placed, , american constitutional law
american constitutional law, has part, placed, , free exercise of religion
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia, instance of, placed, , house of delegates
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia, instance of, placed, , house of delegates
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia, instance of, placed, , house of delegates
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia, instance of, placed, , house of delegates
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia, instance of, placed, , house of delegates
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia, instance of, placed, , house of delegates
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia, instance of, placed, , house of delegates
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia, instance of, placed, , house of delegates
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia, instance of, placed, , house of delegates
virginia house of delegates, chairperson, placed, , thomas jefferson
virginia house of delegates, chairperson, placed, , thomas jefferson
election for the 1777 session of the house of delegates, point in time, placed, , 1777
election, point in time, placed, , 1777
election for the 1777 session of the house of delegates, point in time, placed, , 1777
election, point in time, placed, , 1777
election for the 1777 session of the house of delegates, point in time, placed, , 1777
election, point in time, placed, , 1777
election for the 1777 session of the house of delegates, point in time, placed, , 1777
election, point in time, placed, , 1777
election for the 1777 session of the house of delegates, point in time, placed, , 1777
election, point in time, placed, , 1777
1824 election, point in time, placed, , 1824
1868 election, point in time, placed, , 1868
1824 election, point in time, placed, , 1824
1868 election, point in time, placed, , 1868
1824 election, point in time, placed, , 1824
1868 election, point in time, placed, , 1868
1824 election, point in time, placed, , 1824
1868 election, point in time, placed, , 1868
1824 election, point in time, placed, , 1824
1868 election, point in time, placed, , 1868
continental congress, location, placed, , philadelphia
continental congress, located in the administrative territorial entity, placed, , philadelphia
continental congress, location, placed, , philadelphia
continental congress, located in the administrative territorial entity, placed, , philadelphia
continental congress, point in time, placed, , 1779
continental congress, location, placed, , philadelphia
continental congress, located in the administrative territorial entity, placed, , philadelphia
continental congress, location, placed, , philadelphia
continental congress, located in the administrative territorial entity, placed, , philadelphia
continental congress, location, placed, , philadelphia
continental congress, located in the administrative territorial entity, placed, , philadelphia
continental congress, location, placed, , philadelphia
continental congress, located in the administrative territorial entity, placed, , philadelphia
continental congress, point in time, placed, , 1779
triumphant conclusion, part of, placed, , revolutionary war
revolutionary war, end time, placed, , march 1780
revolutionary war, start time, placed, , march 1780
triumphant conclusion, part of, placed, , revolutionary war
revolutionary war, end time, placed, , march 1780
revolutionary war, start time, placed, , march 1780
committee work, part of, placed, , legislator
committee work, subclass of, placed, , legislator
committee, part of, placed, , legislator
committee work, part of, placed, , legislator
committee work, subclass of, placed, , legislator
committee, part of, placed, , legislator
states, part of, placed, , confederation government
states, part of, placed, , confederation
states, facet of, placed, , confederation
states, part of, placed, , confederation government
states, part of, placed, , confederation
states, facet of, placed, , confederation
states, part of, placed, , confederation government
states, part of, placed, , confederation
states, facet of, placed, , confederation
states, part of, placed, , confederation government
states, part of, placed, , confederation
states, facet of, placed, , confederation
states, part of, placed, , confederation government
states, part of, placed, , confederation
states, facet of, placed, , confederation
three fifths ratio, point in time, placed, , 1783
three fifths ratio, inception, placed, , 1783
three fifths ratio, point in time, placed, , 1783
three fifths ratio, inception, placed, , 1783
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia house of delegates, part of, placed, , american system of government
american system of government, legislative body, placed, , virginia house of delegates
virginia house of delegates, part of, placed, , american system of government
american system of government, legislative body, placed, , virginia house of delegates
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia house of delegates, part of, placed, , american system of government
american system of government, legislative body, placed, , virginia house of delegates
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia house of delegates, part of, placed, , american system of government
american system of government, legislative body, placed, , virginia house of delegates
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia house of delegates, part of, placed, , american system of government
american system of government, legislative body, placed, , virginia house of delegates
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia house of delegates, part of, placed, , american system of government
american system of government, legislative body, placed, , virginia house of delegates
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia house of delegates, part of, placed, , american system of government
american system of government, legislative body, placed, , virginia house of delegates
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia house of delegates, part of, placed, , american system of government
american system of government, legislative body, placed, , virginia house of delegates
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia house of delegates, part of, placed, , american system of government
american system of government, legislative body, placed, , virginia house of delegates
virginia, legislative body, placed, , house of delegates
house of delegates, applies to jurisdiction, placed, , virginia
virginia house of delegates, part of, placed, , american system of government
american system of government, legislative body, placed, , virginia house of delegates
statute for establishing religious freedom, publication date, placed, , 1785
statute for establishing religious freedom in 1785, publication date, placed, , 1785
statute, publication date, placed, , 1785
statute for establishing religious freedom, publication date, placed, , 1785
statute for establishing religious freedom in 1785, publication date, placed, , 1785
annapolis, point in time, placed, , september 1786
general convention, location, placed, , philadelphia
federal government, located in the administrative territorial entity, placed, , philadelphia
general convention, located in the administrative territorial entity, placed, , philadelphia
general convention, location, placed, , philadelphia
federal government, located in the administrative territorial entity, placed, , philadelphia
general convention, located in the administrative territorial entity, placed, , philadelphia
general convention, location, placed, , philadelphia
federal government, located in the administrative territorial entity, placed, , philadelphia
general convention, located in the administrative territorial entity, placed, , philadelphia
federal government, located in the administrative territorial entity, placed, , philadelphia
federal government, located in the administrative territorial entity, placed, , philadelphia
general convention, location, placed, , philadelphia
federal government, located in the administrative territorial entity, placed, , philadelphia
general convention, located in the administrative territorial entity, placed, , philadelphia
federal government, located in the administrative territorial entity, placed, , philadelphia
federal government, located in the administrative territorial entity, placed, , philadelphia
virginia, capital, placed, , new york
virginia, capital, placed, , new york
congress, location, placed, , new york
virginia, capital, placed, , new york
virginia, capital, placed, , new york
virginia, capital, placed, , new york
virginia, capital, placed, , new york
virginia, capital, placed, , new york
virginia, capital, placed, , new york
virginia, capital, placed, , new york
virginia, capital, placed, , new york
virginia, capital, placed, , new york
articles of confederation, part of, placed, , constitutional convention
articles of confederation, has effect, placed, , constitutional convention
Articles of confederation, has effect, placed, , constitutional convention
articles of confederation, part of, placed, , constitutional convention
articles of confederation, has effect, placed, , constitutional convention
Articles of confederation, has effect, placed, , constitutional convention
articles of confederation, part of, placed, , constitutional convention
articles of confederation, has effect, placed, , constitutional convention
Articles of confederation, has effect, placed, , constitutional convention
articles of confederation, part of, placed, , constitutional convention
articles of confederation, has effect, placed, , constitutional convention
Articles of confederation, has effect, placed, , constitutional convention
articles of confederation, part of, placed, , constitutional convention
articles of confederation, has effect, placed, , constitutional convention
Articles of confederation, has effect, placed, , constitutional convention
articles of confederation, part of, placed, , constitutional convention
articles of confederation, has effect, placed, , constitutional convention
Articles of confederation, has effect, placed, , constitutional convention
articles of confederation, part of, placed, , constitutional convention
articles of confederation, has effect, placed, , constitutional convention
Articles of confederation, has effect, placed, , constitutional convention
articles of confederation, part of, placed, , constitutional convention
articles of confederation, has effect, placed, , constitutional convention
Articles of confederation, has effect, placed, , constitutional convention
articles of confederation, part of, placed, , constitutional convention
articles of confederation, has effect, placed, , constitutional convention
Articles of confederation, has effect, placed, , constitutional convention
articles of confederation, part of, placed, , constitutional convention
articles of confederation, has effect, placed, , constitutional convention
Articles of confederation, has effect, placed, , constitutional convention
articles of confederation, part of, placed, , constitutional convention
articles of confederation, has effect, placed, , constitutional convention
Articles of confederation, has effect, placed, , constitutional convention
articles of confederation, part of, placed, , constitutional convention
articles of confederation, has effect, placed, , constitutional convention
Articles of confederation, has effect, placed, , constitutional convention
constitution, instance of, placed, , constitution
constitution, instance of, placed, , debates
constitution, has part, placed, , debates
constitution, instance of, placed, , constitution
constitution, instance of, placed, , debates
constitution, has part, placed, , debates
constitution, instance of, placed, , constitution
constitution, instance of, placed, , debates
constitution, has part, placed, , debates
constitution, instance of, placed, , constitution
constitution, instance of, placed, , debates
constitution, has part, placed, , debates
constitution, instance of, placed, , constitution
constitution, instance of, placed, , debates
constitution, has part, placed, , debates
new constitution, instance of, placed, , ratified
constitution, instance of, placed, , ratified
new constitution, has effect, placed, , ratified
new constitution, instance of, placed, , ratified
constitution, instance of, placed, , ratified
new constitution, has effect, placed, , ratified
new constitution, instance of, placed, , ratified
constitution, instance of, placed, , ratified
new constitution, has effect, placed, , ratified
new constitution, instance of, placed, , ratified
constitution, instance of, placed, , ratified
new constitution, has effect, placed, , ratified
new constitution, instance of, placed, , ratified
constitution, instance of, placed, , ratified
new constitution, has effect, placed, , ratified
federalist, inception, placed, , 1788
federalist, publication date, placed, , 1788
federalist, inception, placed, , 1788
federalist, publication date, placed, , 1788
federalist, inception, placed, , 1788
federalist, publication date, placed, , 1788
constitution, legislated by, entered, by, placed, , philadelphia convention
constitution, author, placed, , philadelphia convention
constitution, applies to jurisdiction, placed, , virginia
constitution, legislated by, entered, by, placed, , philadelphia convention
constitution, author, placed, , philadelphia convention
constitution, applies to jurisdiction, placed, , virginia
constitution, legislated by, entered, by, placed, , philadelphia convention
constitution, author, placed, , philadelphia convention
constitution, applies to jurisdiction, placed, , virginia
constitution, legislated by, entered, by, placed, , philadelphia convention
constitution, applies to jurisdiction, placed, , virginia
constitution, author, placed, , philadelphia convention
constitution, legislated by, entered, by, placed, , philadelphia convention
constitution, applies to jurisdiction, placed, , virginia
constitution, author, placed, , philadelphia convention
constitution, legislated by, entered, by, placed, , philadelphia convention
constitution, applies to jurisdiction, placed, , virginia
constitution, author, placed, , philadelphia convention
constitution, legislated by, entered, by, placed, , philadelphia convention
constitution, author, placed, , philadelphia convention
constitution, applies to jurisdiction, placed, , virginia
constitution, legislated by, entered, by, placed, , philadelphia convention
constitution, applies to jurisdiction, placed, , virginia
constitution, author, placed, , philadelphia convention
constitution, applies to jurisdiction, placed, , virginia
constitution, legislated by, entered, by, placed, , philadelphia convention
constitution, author, placed, , philadelphia convention
constitution, applies to jurisdiction, placed, , virginia
constitution, applies to jurisdiction, placed, , virginia
constitution, applies to jurisdiction, placed, , virginia
constitution, applies to jurisdiction, placed, , virginia
constitution, legislated by, entered, by, placed, , philadelphia convention
constitution, applies to jurisdiction, placed, , virginia
constitution, author, placed, , philadelphia convention
James Monroe, candidacy in election, placed, , election
James Monroe, candidacy in election, placed, , election
election, candidate, placed, , James Monroe
James Monroe, candidacy in election, placed, , election
James Monroe, candidacy in election, placed, , election
election, candidate, placed, , James Monroe
James Monroe, candidacy in election, placed, , election
James Monroe, candidacy in election, placed, , election
election, candidate, placed, , James Monroe
James Monroe, candidacy in election, placed, , election
James Monroe, candidacy in election, placed, , election
election, candidate, placed, , James Monroe
James Monroe, candidacy in election, placed, , election
James Monroe, candidacy in election, placed, , election
election, candidate, placed, , James Monroe
presidency, country, placed, , republic
alexander hamilton, position held, placed, , secretary of the treasury
secretary of the treasury, country, placed, , republic
alexander hamilton, position held, placed, , secretary of the treasury
alexander hamilton, position held, placed, , secretary of the treasury
secretary of the treasury, country, placed, , republic
alexander hamilton, position held, placed, , secretary of the treasury
secretary of the treasury, country, placed, , republic
alexander hamilton, position held, placed, , secretary of the treasury
congress, replaced by, entered, by, placed, , republic
republic, replaces, placed, , congress
alexander hamilton, position held, placed, , secretary of the treasury
secretary of the treasury, country, placed, , republic
alexander hamilton, position held, placed, , secretary of the treasury
alexander hamilton, position held, placed, , secretary of the treasury
secretary of the treasury, country, placed, , republic
alexander hamilton, position held, placed, , secretary of the treasury
alexander hamilton, position held, placed, , secretary of the treasury
secretary of the treasury, country, placed, , republic
alexander hamilton, position held, placed, , secretary of the treasury
republican, follows, placed, , federalist
federalist, followed by, entered, by, placed, , republican
federalist, followed by, entered, by, placed, , republican
republican, follows, placed, , federalist
republican, follows, placed, , federalist
federalist, followed by, entered, by, placed, , republican
federalist, followed by, entered, by, placed, , republican
republican, follows, placed, , federalist
republican, follows, placed, , federalist
federalist, followed by, entered, by, placed, , republican
